strategy,seed,episode,total_interest,months,avg_utilization,final_debt,all_paid,credit_proxy_score
Avalanche,999,42,2724.6,18,0.2351,0.0,True,811.2
NormalizedAvalanche,999,42,2810.13,17,0.2341,0.0,True,811.4
PPO,999,43,6334.57,20,0.2865,0.0,True,802.7
MinimumOnly,999,43,6504.93,20,0.2877,0.0,True,802.5
Snowball,999,43,6914.87,21,0.2869,0.0,True,802.7
Avalanche,999,43,6336.81,20,0.2948,0.0,True,801.4
NormalizedAvalanche,999,43,6405.67,20,0.2855,0.0,True,802.9
PPO,999,44,2359.78,22,0.2003,0.0,True,816.9
MinimumOnly,999,44,2494.56,22,0.2051,0.0,True,816.2
Snowball,999,44,2458.74,21,0.2108,0.0,True,815.2
Avalanche,999,44,2304.69,22,0.1987,0.0,True,817.2
NormalizedAvalanche,999,44,2348.13,21,0.2063,0.0,True,816.0
PPO,999,45,1394.62,8,0.2201,0.0,True,813.7
MinimumOnly,999,45,1371.68,8,0.2122,0.0,True,815.0
Snowball,999,45,1632.29,9,0.2449,0.0,True,809.6
Avalanche,999,45,1632.29,9,0.2449,0.0,True,809.6
NormalizedAvalanche,999,45,1412.44,8,0.207,0.0,True,815.8
PPO,999,46,2185.86,12,0.216,0.0,True,814.4
MinimumOnly,999,46,2221.32,12,0.2195,0.0,True,813.8
Snowball,999,46,2422.76,13,0.2251,0.0,True,812.9
Avalanche,999,46,2247.27,12,0.2362,0.0,True,811.0
NormalizedAvalanche,999,46,2159.37,12,0.2124,0.0,True,815.0
PPO,999,47,3066.47,16,0.1917,0.0,True,818.4
MinimumOnly,999,47,3064.84,16,0.1913,0.0,True,818.4
Snowball,999,47,3176.1,16,0.1988,0.0,True,817.2
Avalanche,999,47,3169.03,17,0.1897,0.0,True,818.7
NormalizedAvalanche,999,47,3047.67,16,0.1899,0.0,True,818.7
PPO,999,48,6434.07,30,0.3153,0.0,True,798.0
MinimumOnly,999,48,6612.22,31,0.3086,0.0,True,799.1
Snowball,999,48,6505.49,31,0.3097,0.0,True,798.9
Avalanche,999,48,6484.63,31,0.3116,0.0,True,798.6
NormalizedAvalanche,999,48,6490.56,31,0.3056,0.0,True,799.6
PPO,999,49,1231.83,9,0.2158,0.0,True,814.4
MinimumOnly,999,49,1332.84,9,0.2081,0.0,True,815.7
Snowball,999,49,1431.12,9,0.2512,0.0,True,808.5
Avalanche,999,49,1301.69,9,0.2346,0.0,True,811.3
NormalizedAvalanche,999,49,1309.89,9,0.2023,0.0,True,816.6
PPO,999,50,2134.64,13,0.2225,0.0,True,813.3
MinimumOnly,999,50,2118.57,13,0.2206,0.0,True,813.6
Snowball,999,50,2187.52,14,0.2193,0.0,True,813.8
Avalanche,999,50,2187.52,14,0.2193,0.0,True,813.8
NormalizedAvalanche,999,50,2138.22,13,0.2179,0.0,True,814.0
PPO,999,51,4266.45,27,0.2316,0.0,True,811.8
MinimumOnly,999,51,4317.6,27,0.2325,0.0,True,811.6
Snowball,999,51,4427.7,27,0.2444,0.0,True,809.7
Avalanche,999,51,4427.7,27,0.2444,0.0,True,809.7
NormalizedAvalanche,999,51,4392.33,27,0.2326,0.0,True,811.6
PPO,999,52,9837.75,37,0.2843,0.0,True,803.1
MinimumOnly,999,52,9902.32,38,0.278,0.0,True,804.1
Snowball,999,52,9865.13,38,0.2801,0.0,True,803.8
Avalanche,999,52,9865.13,38,0.2801,0.0,True,803.8
NormalizedAvalanche,999,52,9933.49,37,0.2842,0.0,True,803.1
PPO,999,53,2984.98,20,0.2476,0.0,True,809.2
MinimumOnly,999,53,2959.94,20,0.2434,0.0,True,809.8
Snowball,999,53,3160.01,20,0.2565,0.0,True,807.7
Avalanche,999,53,2746.07,20,0.2461,0.0,True,809.4
NormalizedAvalanche,999,53,2808.15,19,0.2472,0.0,True,809.2
PPO,999,54,3285.4,16,0.2072,0.0,True,815.8
MinimumOnly,999,54,3490.96,16,0.2051,0.0,True,816.2
Snowball,999,54,3646.16,16,0.2126,0.0,True,814.9
